13, 26
21, 25
19, 25
10, 27
1, 25
9, 25
25, 20
25, 12
25, 6
25, 10
10, 25
17, 25
5, 25
15, 25
18, 25
25, 19
16, 25
22, 25
26, 20
19, 27
25, 21
18, 25
7, 25
1, 26
12, 25
1, 25
8, 26
9, 25
1, 25
12, 25
9, 26
12, 26
16, 25
25, 23
9, 25
5, 27
11, 25
25, 19
13, 25
18, 25
21, 25
21, 26
9, 25
13, 25
25, 21
19, 25
14, 25
12, 25
14, 27
17, 26
22, 26
15, 26
13, 25
11, 25
12, 25
19, 25
15, 25
8, 25
9, 27
15, 26
7, 26
15, 25
26, 5
25, 4
25, 5
25, 6
25, 1
26, 7
25, 8
26, 9
25, 6
25, 7
2, 27
3, 25
1, 25
3, 25
4, 25
1, 26
4, 27
4, 26
3, 25
7, 26
18, 25
25, 22
25, 11
26, 24
24, 25
25, 18
25, 24
22, 25
25, 8
25, 14
23, 25
25, 12
25, 22
25, 16
25, 15
26, 16
25, 16
16, 25
25, 18
25, 17
25, 9
25, 22
6, 25
9, 25
2, 25
6, 26
6, 25
2, 25
14, 26
6, 25
5, 25
9, 27
27, 17
25, 14
27, 13
24, 25
25, 18
8, 26
23, 25
27, 22
19, 26
25, 23
25, 17
25, 10
26, 17
27, 8
12, 25
25, 24
25, 18
25, 13
25, 14
15, 25
27, 14
7, 25
1, 25
4, 26
13, 26
5, 27
15, 25
3, 25
14, 27
10, 26
19, 27
6, 25
16, 26
13, 25
17, 25
7, 27
16, 25
15, 25
20, 26
12, 26
13, 26
10, 26
9, 26
7, 25
5, 26
11, 26
5, 26
8, 25
25, 22
25, 8
21, 25
25, 20
25, 16
20, 25
25, 19
25, 23
15, 25
21, 26
25, 13
14, 25
25, 19
25, 7
25, 14
25, 20
25, 14
25, 19
25, 20
23, 26
25, 21
25, 16
17, 25
25, 15
25, 20
21, 26
17, 25
25, 17
16, 26
25, 24
25, 18
13, 25
25, 12
25, 24
11, 26
11, 25
21, 26
20, 25
25, 22
24, 25
25, 15
25, 20
19, 25
23, 25
18, 25
18, 26
12, 25
17, 25
16, 26
25, 19
15, 25
14, 25
26, 21
6, 26
15, 25
1, 27
1, 26
0, 26
0, 25
0, 25
1, 25
1, 25
2, 25
6, 25
2, 25
2, 25
1, 26
1, 25
0, 25
1, 26
1, 25
18, 25
25, 16
25, 23
22, 25
20, 25
12, 25
25, 17
21, 25
20, 25
25, 15
24, 25
20, 26
15, 27
18, 25
25, 16
19, 25
25, 18
9, 25
10, 25
25, 21
5, 25
13, 25
7, 25
6, 25
4, 25
4, 26
5, 26
2, 27
3, 27
6, 25
17, 25
25, 24
27, 8
25, 19
26, 13
25, 20
25, 23
6, 25
10, 27
20, 26
24, 27
17, 26
3, 25
25, 23
9, 25
13, 25
21, 27
16, 25
7, 27
3, 25
4, 25
3, 27
0, 26
1, 27
2, 26
0, 27
8, 26
1, 26
2, 26
0, 26
1, 25
4, 25
5, 25
6, 26
1, 26
0, 25
5, 25
6, 26
2, 27
4, 25
5, 26
2, 25
2, 25
8, 25
2, 25
2, 27
1, 25
4, 25
4, 27
9, 25
3, 25
1, 25
25, 21
20, 25
25, 17
8, 25
25, 13
25, 20
25, 20
25, 16
25, 9
26, 1
25, 7
25, 19
25, 11
26, 22
25, 12
25, 3
25, 5
25, 6
14, 26
23, 26
20, 25
18, 25
25, 17
9, 25
12, 25
11, 25
17, 25
21, 26
25, 20
25, 24
23, 25
23, 26
22, 25
25, 14
25, 7
16, 26
2, 25
25, 21
19, 25
20, 25
25, 12
25, 18
26, 19
26, 14
17, 25
24, 25
19, 26
25, 18
18, 26
25, 23
25, 21
25, 22
14, 25
25, 10
25, 19
17, 25
26, 17
13, 25
25, 22
17, 26
12, 25
25, 18
15, 25
13, 25
8, 25
25, 18
14, 27
12, 26
23, 25
18, 25
25, 17
21, 25
25, 23
15, 25
19, 25
25, 19
26, 20
23, 27
25, 15
26, 18
19, 26
26, 22
10, 25
25, 18
15, 25
21, 25
11, 25
16, 25
17, 26
14, 25
25, 18
25, 12
25, 16
27, 14
25, 14
27, 18
25, 13
25, 21
5, 27
16, 25
19, 26
21, 25
