-2, 0, 2, 0, 0, 5, 0, 3, 0, 0, 0, -5, 3, 0, 0, 0, -2, 0, -4, 0, 0, 0, -2, 2, 0, 0, 0, 0,1.0384615384615385
-2, 2, 0, 0, 0, 4, 0, 2, 0, 0, 0, -5, 5, 0, 0, 0, -3, 0, -5, 0, 0, 0, 0, 2, 0, 0, 0, 0,0.6708683473389355
-2, 2, 2, 0, 0, 3, 0, 1, 0, 0, 0, -3, 5, 0, 0, 0, -3, 0, -5, 0, 0, -2, 0, 2, 0, 0, 0, 0,0.2
-2, 2, 0, 0, 0, 3, 0, 3, 2, 0, 0, -4, 3, 0, 0, 0, -2, -1, -6, 0, 0, 0, 0, 2, 0, 0, 0, 0,1.0
1, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7, 0, 0, -5, 8,1.0
1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7, 0, 0, -7, 12,1.0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, -9, 14,1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -11, 15,1.0
-2, 0, 0, 0, 0, 6, 1, 2, 0, 0, 0, -5, 4, 0, 0, 0, -3, 0, -5, 0, 0, 0, 0, 2, 0, 0, 0, 0,0.616991643454039
-2, 0, 2, 0, 0, 6, 1, 2, 0, 0, 0, -3, 2, 0, 0, -2, -3, 0, -3, 0, 0, 0, -2, 2, 0, 0, 0, 0,0.6666666666666666
7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -4, -1, 0, 0, -8, 7,0.0
6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, -12, 9,0.0
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -14, 11,0.0
-2, 0, 0, 0, 0, 5, 0, 3, 0, 1, 0, -4, 4, 0, -1, 0, -3, 0, -5, 0, 0, 0, 0, 2, 0, 0, 0, 0,0.639344262295082
-1, 2, -1, 2, 0, 3, 0, 2, 0, 0, 0, -3, 4, 0, 0, 0, -4, 0, -6, 0, 0, 0, 0, 2, 0, 0, 0, 0,1.5
-2, 0, 0, 0, 0, 5, 0, 3, 0, 1, 0, -5, 4, 0, 0, 0, -3, 0, -5, 0, 0, 0, 0, 2, 0, 0, 0, 0,0.6504178272980501
-2, 0, 0, 0, 0, 6, 0, 3, 0, 0, 0, -4, 4, 0, -1, 0, -3, 0, -5, 0, 0, 1, 0, 1, 0, 0, 0, 0,0.0
-2, 0, 0, 0, 0, 6, 0, 4, 0, 0, 0, -4, 3, 0, 0, 0, -3, 0, -4, 0, -2, 1, 0, 1, 0, 0, 0, 0,0.0
-2, 0, 0, 0, 0, 6, 0, 3, 0, 0, 0, -5, 4, 0, 0, 0, -3, 0, -5, 0, 0, 0, 0, 2, 0, 0, 0, 0,0.6666666666666666
-2, 0, 0, 0, 0, 6, 1, 3, 0, 0, 0, -4, 3, 0, 0, 0, -3, 0, -6, 0, 0, 0, 0, 2, 0, 0, 0, 0,0.9
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -2, 0, 0, -1, 14,1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9, -2, 0, 0, -3, 15,1.0
